A
Robert Froissart
Emmanuel Front
G
Marcelle Gabarrus
Hafida Gadi
Georgette Gagneux
Louis Gailliard
Étienne Gajan
Jennifer Galais
Jean Galfione
Francis Galtier
Taka Gangué
Liliane Gaschet
Marc Gasparoni
Bernard Gauthier (athlete)
Marie Gayot
Gilles Gémise-Fareau
Paul Genevay
Paul Genève
Rémy Geoffroy
Jean Gérault
Marcel Gerdil
Robert Geyer
Mohammed Ghermati
Anthony Gillet
Pierre Gillet
Patricia Girard
André Glatigny
Suzanne Glotin
Floriane Gnafoua
Robert Goix
Jean-Paul Gomez
Kafétien Gomis
Sandra Gomis
Fernand Gonder
Émile Gontier
Alexandre Gonzalez
Francis Gonzalez
Jean-Pierre Goudeau
Nicole Goullieux
Robert Goullieux
Véronique Grandrieux
Pierre Grany
Jean-Marc Grava
Zohra Graziani-Koullou
Jean-Pierre Grès
Alphonse Grisel
Régis Groisard
Maurice Grosclaude
Élisabeth Grousselle
Dominique Guebey
Élodie Guégan
Floria Gueï
Denise Guénard
Danielle Guéneau
Charles Guézille
Nicolas Guigon
Joseph Guillemot
Georges Guillez
Lucien Guillier
Georges Guillon
G
Marcel Guillouet
Pierre Guilloux
Needy Guims
Henri Guttierez
Alexis Guyodo
Sébastienne Guyot
H
Pierre Haarhoff
Mickaël Hanany
Mamadou Kassé Hanne
Marcel Hansenne
Abderrahim El Haouzy
Claude Heim
Ignace Heinrich
Albert Heisé
Serge Hélan
Georges Henry
Simone Henry
Laurent Hernu
Gaston Heuet
Michel Hiblot
Pierre-Marie Hilaire
Driss El Himer
Hassan Hirt
Cédric Houssaye
Maurice Houvion
Philippe Houvion
Claude Hubert
Muriel Hurtis-Houairi
Guy Husson
I
Louis Ichard
Mahamat Idriss
Ayodelé Ikuesan
Albert Isola (athlete)
Jeanine Assani Issouf
J
Joseph Jackson (athlete)
Lina Jacques-Sébastien
Raymond Jamois
Henri Jardin
Marcel Jarrety
Michel Jazy
Valérie Jean-Charles
Jimmy Jean-Joseph
Franck Jonot
Thomas Jordier
Stanley Joseph
René Josset
Patrick Journoud
Prudent Joye
René Jubeau
K
Julien Kapek
Naman Keïta
Jean Keller
Francis Kerbiriou
Jean Kerebel
Nouba Khaled
Abraham Kiprotich
Henri Klein
Adolphe Klingelhoefer
Gaston Koëger
Fernand Kolbeck
Bruno Konczylo
Yoann Kowal
Frédéric Krantz
Georges Krotoff
Frédéric Kuhn
L
Georges de la Nézière
André Labat
René Labat
Ahmed Ben Labidi
Florent Lacasse
Pierre Lacaze
Jules Ladoumègue
Charles Lagarde
Paul Lagarde
El Hassan Lahssini
Bernard Laidebeur
Étienne Laisné
Jean-Paul Lakafia
Bernard Lamitié
Rénelle Lamote
G. Lamotte
Francine Landre
Denis Langlois
Frédéric Langrenay
Stéphane Laporte
Lucienne Laudré-Viel
Paulette Laurent
Thierry Lauret
André Lauseig
Gustave Lauvaux
Henri Lauvaux
Cyrille Laventure
Renaud Lavillenie
Alain Lazare
Vincent Le Dauphin
